config_name,ablation,error,code_distance,episodes_completed,num_samples,physical_error_rate,seed,test_distance,train_distance,training_episodes,avg_recent_reward,ci_95_lower,ci_95_upper,convergence_episode,deviation_from_benchmark,expected_benchmark,generalization_gap,logical_error_rate,logical_error_rate_mwpm,logical_error_rate_rl,mwpm_benchmark,mwpm_ci_95_lower,mwpm_ci_95_upper,mwpm_test_error_rate,relative_deviation,rl_ci_95_lower,rl_ci_95_upper,rl_vs_mwpm_at_test,rl_vs_mwpm_ratio,stderr,test_ci_95_lower,test_ci_95_upper,test_logical_error_rate,train_logical_error_rate,training_loss,training_time_sec
zeroshot_d7to15_ep200_s2,None,None,,,,0.005,2,15,7,200,,,,,,,-0.016000000000000014,,,,,,,0.114,,,,6.298245614035087,,,0.6785580983825577,0.7574419016174423,0.718,0.734,,
zeroshot_d7to15_ep200_s3,None,None,,,,0.005,3,15,7,200,,,,,,,-0.010000000000000009,,,,,,,0.106,,,,6.962264150943397,,,0.6994566112128162,0.7765433887871838,0.738,0.748,,
zeroshot_d7to15_ep200_s4,None,None,,,,0.005,4,15,7,200,,,,,,,-0.010000000000000009,,,,,,,0.086,,,,8.627906976744187,,,0.7036484540702724,0.7803515459297276,0.742,0.752,,
zeroshot_d7to15_ep200_s5,None,None,,,,0.005,5,15,7,200,,,,,,,-0.0020000000000000018,,,,,,,0.06,,,,12.533333333333333,,,0.7141465184269663,0.7898534815730337,0.752,0.754,,
zeroshot_d7to15_ep1000_s1,None,None,,,,0.005,1,15,7,1000,,,,,,,0.062000000000000055,,,,,,,0.104,,,,7.653846153846154,,,0.7606782114156149,0.8313217885843852,0.796,0.734,,
zeroshot_d7to15_ep1000_s2,None,None,,,,0.005,2,15,7,1000,,,,,,,-0.04800000000000004,,,,,,,0.114,,,,6.298245614035087,,,0.6785580983825577,0.7574419016174423,0.718,0.766,,
zeroshot_d7to15_ep1000_s3,None,None,,,,0.005,3,15,7,1000,,,,,,,-0.03600000000000003,,,,,,,0.106,,,,6.962264150943397,,,0.6994566112128162,0.7765433887871838,0.738,0.774,,
zeroshot_d7to15_ep1000_s4,None,None,,,,0.005,4,15,7,1000,,,,,,,-0.050000000000000044,,,,,,,0.086,,,,8.627906976744187,,,0.7036484540702724,0.7803515459297276,0.742,0.792,,
zeroshot_d7to15_ep1000_s5,None,None,,,,0.005,5,15,7,1000,,,,,,,-0.010000000000000009,,,,,,,0.06,,,,12.533333333333333,,,0.7141465184269663,0.7898534815730337,0.752,0.762,,
zeroshot_d7to15_ep2000_s1,None,None,,,,0.005,1,15,7,2000,,,,,,,0.062000000000000055,,,,,,,0.104,,,,7.653846153846154,,,0.7606782114156149,0.8313217885843852,0.796,0.734,,
zeroshot_d7to15_ep2000_s2,None,None,,,,0.005,2,15,7,2000,,,,,,,-0.040000000000000036,,,,,,,0.114,,,,6.298245614035087,,,0.6785580983825577,0.7574419016174423,0.718,0.758,,
zeroshot_d7to15_ep2000_s3,None,None,,,,0.005,3,15,7,2000,,,,,,,-0.0020000000000000018,,,,,,,0.106,,,,6.962264150943397,,,0.6994566112128162,0.7765433887871838,0.738,0.74,,
zeroshot_d7to15_ep2000_s4,None,None,,,,0.005,4,15,7,2000,,,,,,,-0.03200000000000003,,,,,,,0.086,,,,8.627906976744187,,,0.7036484540702724,0.7803515459297276,0.742,0.774,,
zeroshot_d7to15_ep2000_s5,None,None,,,,0.005,5,15,7,2000,,,,,,,0.0040000000000000036,,,,,,,0.06,,,,12.533333333333333,,,0.7141465184269663,0.7898534815730337,0.752,0.748,,
zeroshot_d7to15_ep5000_s1,None,None,,,,0.005,1,15,7,5000,,,,,,,0.03400000000000003,,,,,,,0.104,,,,7.653846153846154,,,0.7606782114156149,0.8313217885843852,0.796,0.762,,
zeroshot_d7to15_ep5000_s2,None,None,,,,0.005,2,15,7,5000,,,,,,,-0.028000000000000025,,,,,,,0.114,,,,6.298245614035087,,,0.6785580983825577,0.7574419016174423,0.718,0.746,,
zeroshot_d7to15_ep5000_s3,None,None,,,,0.005,3,15,7,5000,,,,,,,0.014000000000000012,,,,,,,0.106,,,,6.962264150943397,,,0.6994566112128162,0.7765433887871838,0.738,0.724,,
zeroshot_d7to15_ep5000_s4,None,None,,,,0.005,4,15,7,5000,,,,,,,0.0020000000000000018,,,,,,,0.086,,,,8.627906976744187,,,0.7036484540702724,0.7803515459297276,0.742,0.74,,
zeroshot_d7to15_ep5000_s5,None,None,,,,0.005,5,15,7,5000,,,,,,,0.01200000000000001,,,,,,,0.06,,,,12.533333333333333,,,0.7141465184269663,0.7898534815730337,0.752,0.74,,
learning_curve_d15_ep500_s1,learning_curve,None,15,500,,0.005,1,,,,0.204,0.6903638626267783,0.7896361373732217,,,,,0.74,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep1000_s1,learning_curve,None,15,1000,,0.005,1,,,,0.228,0.7188050760970686,0.8145282572362649,,,,,0.7666666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep1500_s1,learning_curve,None,15,1500,,0.005,1,,,,0.26,0.7045530555943096,0.802113611072357,,,,,0.7533333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep2000_s1,learning_curve,None,15,2000,,0.005,1,,,,0.232,0.6903638626267783,0.7896361373732217,,,,,0.74,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep2500_s1,learning_curve,None,15,2500,,0.005,1,,,,0.238,0.7403091484382681,0.8330241848950651,,,,,0.7866666666666666,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep3000_s1,learning_curve,None,15,3000,,0.005,1,,,,0.272,0.729537522738441,0.8237958105948923,,,,,0.7766666666666666,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep3500_s1,learning_curve,None,15,3500,,0.005,1,,,,0.212,0.6974508161635946,0.7958825171697388,,,,,0.7466666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep4000_s1,learning_curve,None,15,4000,,0.005,1,,,,0.25,0.6939054533614134,0.7927612133052532,,,,,0.7433333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep4500_s1,learning_curve,None,15,4500,,0.005,1,,,,0.252,0.683291809834602,0.7833748568320645,,,,,0.7333333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep5000_s1,learning_curve,None,15,5000,,0.005,1,,,,0.244,0.7475129716942024,0.8391536949724643,,,,,0.7933333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep500_s2,learning_curve,None,15,500,,0.005,2,,,,0.282,0.7045530555943096,0.802113611072357,,,,,0.7533333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep1000_s2,learning_curve,None,15,1000,,0.005,2,,,,0.266,0.7116709942167232,0.8083290057832768,,,,,0.76,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep1500_s2,learning_curve,None,15,1500,,0.005,2,,,,0.256,0.7511219444859516,0.8422113888473817,,,,,0.7966666666666666,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep2000_s2,learning_curve,None,15,2000,,0.005,2,,,,0.226,0.7152359882152562,0.8114306784514104,,,,,0.7633333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep2500_s2,learning_curve,None,15,2500,,0.005,2,,,,0.23,0.6621615795507515,0.7645050871159152,,,,,0.7133333333333334,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep3000_s2,learning_curve,None,15,3000,,0.005,2,,,,0.226,0.7547357388955334,0.8452642611044667,,,,,0.8,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep3500_s2,learning_curve,None,15,3500,,0.005,2,,,,0.232,0.6903638626267783,0.7896361373732217,,,,,0.74,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep4000_s2,learning_curve,None,15,4000,,0.005,2,,,,0.24,0.7547357388955334,0.8452642611044667,,,,,0.8,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep4500_s2,learning_curve,None,15,4500,,0.005,2,,,,0.258,0.6727108900599891,0.7739557766066777,,,,,0.7233333333333334,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep5000_s2,learning_curve,None,15,5000,,0.005,2,,,,0.264,0.6974508161635946,0.7958825171697388,,,,,0.7466666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep500_s3,learning_curve,None,15,500,,0.005,3,,,,0.262,0.7188050760970686,0.8145282572362649,,,,,0.7666666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep1000_s3,learning_curve,None,15,1000,,0.005,3,,,,0.278,0.7188050760970686,0.8145282572362649,,,,,0.7666666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep1500_s3,learning_curve,None,15,1500,,0.005,3,,,,0.248,0.6868259966753315,0.7865073366580019,,,,,0.7366666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep2000_s3,learning_curve,None,15,2000,,0.005,3,,,,0.226,0.6903638626267783,0.7896361373732217,,,,,0.74,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep2500_s3,learning_curve,None,15,2500,,0.005,3,,,,0.224,0.676234298459701,0.7770990348736324,,,,,0.7266666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep3000_s3,learning_curve,None,15,3000,,0.005,3,,,,0.294,0.6868259966753315,0.7865073366580019,,,,,0.7366666666666667,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep3500_s3,learning_curve,None,15,3500,,0.005,3,,,,0.236,0.683291809834602,0.7833748568320645,,,,,0.7333333333333333,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep4000_s3,learning_curve,None,15,4000,,0.005,3,,,,0.248,0.7692409965505889,0.8574256701160778,,,,,0.8133333333333334,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep4500_s3,learning_curve,None,15,4500,,0.005,3,,,,0.27,0.6621615795507515,0.7645050871159152,,,,,0.7133333333333334,,,,,,,,,,,,,,,,,,
learning_curve_d15_ep5000_s3,learning_curve,None,15,5000,,0.005,3,,,,0.256,0.6939054533614134,0.7927612133052532,,,,,0.7433333333333333,,,,,,,,,,,,,,,,,,
mwpm_validation_d3_p0.001,None,None,3,,10000,0.001,,,,,,0.002259077956037311,0.004540922043962689,,0.0031172212272598736,0.00028277877274012625,,0.0034,,,,,,,11.023533333333335,,,,,,,,,,,
mwpm_validation_d3_p0.003,None,None,3,,10000,0.003,,,,,,0.008411605357480562,0.012388394642519437,,0.007854991045338863,0.0025450089546611362,,0.0104,,,,,,,3.08642962962963,,,,,,,,,,,
mwpm_validation_d3_p0.005,None,None,3,,10000,0.005,,,,,,0.017162728950505635,0.022637271049494367,,0.012830530681496845,0.007069469318503157,,0.0199,,,,,,,1.8149213333333338,,,,,,,,,,,
mwpm_validation_d3_p0.007,None,None,3,,10000,0.007,,,,,,0.023540378475576544,0.02985962152442346,,0.012843840135733812,0.01385615986426619,,0.0267,,,,,,,0.9269408163265306,,,,,,,,,,,
mwpm_validation_d3_p0.01,None,None,3,,10000,0.01,,,,,,0.03491957153095049,0.04248042846904951,,0.01042212272598737,0.02827787727401263,,0.0387,,,,,,,0.368561,,,,,,,,,,,
