time_years,S_total,S_1mm_1cm,S_1cm_10cm,S_10cm_1m,S_1m_plus,S_400_600km,S_600_800km,S_800_1000km,S_1000_1200km,S_1200_1500km,S_1500_plus_km,cumulative_collisions,collision_rate_per_year,cascade_gain_G,cascade_multiplier_Km,collisions_this_step,fragments_generated,launches,objects_decayed,scenario,pmd_compliance
3.9000000000000004,118132827.2152079,117030288.35915142,1030369.983500015,32397.290464797632,39771.582091675264,7101575.807654122,20236479.77019863,37464979.26119521,31218705.15497799,15595840.067268372,6515247.153913592,1224.0,470.5790667702291,8231.752261709315,0.892366113314142,49.0,7696.801763222774,548.4171428571428,438207.7121591084,PMD_80,0.8
4.0,117709098.58822459,116607754.62070939,1028679.0453638677,32357.75405279493,40307.16809854016,6872416.465200629,20103157.589636855,37419188.75482572,31207168.792542465,15592731.935794584,6514435.050224346,1271.0,475.56147456107425,7419.577035538383,0.8291974136790037,47.0,5170.0,548.4571428571429,429513.65555474674,PMD_80,0.8
4.1000000000000005,117294796.01783937,116194538.26935108,1027097.7242128255,32318.41740855298,40841.60686689966,6650414.61848116,19970940.041458573,37374115.545421794,31195968.333483707,15589734.429042544,6513623.04995159,1327.0,480.5179520651576,6688.619331984545,0.7703547737642719,56.0,6160.0,548.4971428571429,421077.63895667123,PMD_80,0.8
4.2,116888796.31329386,115789596.05912207,1025546.0710476729,32279.279257593935,41374.90386652243,6435665.361182565,19839379.872623436,37329648.781895876,31184663.61886963,15586627.525639903,6512811.153082455,1384.0,485.46773556334153,6030.757398786091,0.7155835701819208,57.0,6270.0,548.5371428571428,412884.81311692944,PMD_80,0.8
4.3,116491951.770768,115393854.36554523,1023949.0835132761,32241.239260254013,41907.08244924982,6228041.283280787,19708802.635739695,37287322.547634095,31172264.697795022,15583521.246714344,6511999.359604075,1431.0,490.4060470422797,5443.5897477654025,0.6652056855476076,47.0,7476.801763222773,548.5771428571429,404934.4928605056,PMD_80,0.8
4.4,116101061.11840051,115004034.53165402,1022385.980456335,32202.49408079647,42438.112209396044,6027089.350721966,19579201.844909765,37243074.57390728,31159872.08721645,15580635.592141489,6511187.669503588,1483.0,495.3300513509702,4910.230772988863,0.6177508054076406,52.0,5720.0,548.6171428571429,397225.8409389076,PMD_80,0.8
4.5,115722706.0755517,114626620.02937683,1020952.248434247,32165.745474278385,42968.05226633744,5832700.967326158,19450351.057218388,37199102.06004667,31152645.3888912,15577530.51930115,6510376.08276813,1539.0,500.2349810262133,4438.446273415772,0.574686624549488,56.0,10773.603526445548,548.6571428571428,389739.87494669313,PMD_80,0.8
4.6000000000000005,115345920.32388186,114250936.77929394,1019359.2714743085,32127.43582636524,43496.8372872411,5644881.298769738,19322245.2512836,37154320.25642816,31140482.847442374,15574426.070573157,6509564.5993848415,1585.0,505.1825975528207,4005.6398570140805,0.5336567563874696,46.0,5077.577032347219,548.6971428571429,382476.5972736055,PMD_80,0.8
4.7,114977706.1021404,113883660.1271422,1017932.1976046663,32089.27085484529,44024.506538680864,5463305.744141109,19195539.439182464,37110458.949366055,31128326.504276693,15571322.245833205,6508753.219340862,1645.0,510.06492707160976,3616.0758713126725,0.4954738886396213,60.0,6600.0,548.7371428571429,375429.53031290945,PMD_80,0.8
4.800000000000001,114615224.63874951,113522199.32148036,1016422.9540894326,32051.296904438273,44551.06627528867,5287330.131122104,19069344.5297196,37066652.63404726,31115736.35628019,15568219.044957027,6507941.942623336,1695.0,514.94108237769,3265.468284181405,0.46004609404016183,50.0,5500.0,548.7771428571428,368596.8119623028,PMD_80,0.8
4.9,114261033.48208295,113169035.54105031,1014906.9876588559,32014.413684764393,45076.53968903003,5117210.584581821,18943547.0069239,37024876.04524779,31103152.60828967,15565116.46782036,6507130.769219404,1739.0,519.800604866511,2955.1641870433164,0.42792054548263425,44.0,7146.801763222773,548.8171428571428,361951.3470012175,PMD_80,0.8
5.0,113911237.39009286,112820281.05712247,1013378.5218400764,31976.91302443078,45600.898105904016,4952535.650463281,18819134.067906693,36980627.045150764,31090606.41315693,15562014.514298989,6506319.699116215,1785.0,524.6572350822953,2670.724190218755,0.39738310957106115,46.0,5095.154064694436,548.8571428571429,355502.67462619406,PMD_80,0.8
5.1000000000000005,113568985.36651345,112478928.02047509,1012002.8233769343,31939.50463165031,46115.01802976517,4793346.949763312,18694987.581187867,36936763.483522564,31079355.43547009,15558913.184268702,6505618.732300914,1843.0,529.4940119653131,2414.65177119688,0.36901413586537185,58.0,6380.0,530.6114285714286,349238.34929370804,PMD_80,0.8
5.2,113232076.4220491,112142986.59071536,1010559.3948575733,31902.37755621371,46628.05891996654,4639245.144577384,18572104.661996,36892420.48085644,31067450.22432018,15556048.055037636,6504807.855261481,1894.0,534.2714985990883,2184.2555236158087,0.34274634199331094,51.0,5645.154064694438,530.6514285714286,343156.46424331237,PMD_80,0.8
5.300000000000001,112901374.18885481,111813190.48904805,1009178.3372738633,31865.340365696167,47140.02216720912,4490283.574946406,18449927.084349275,36848337.43390127,31055881.088728078,15552947.925443877,6503997.081485898,1948.0,539.0311885541781,1976.8299712542278,0.31840270939306853,54.0,5940.0,530.6914285714286,337248.6389086009,PMD_80,0.8
5.4,112576736.67916597,111489413.07221866,1007844.2051230447,31828.487014937364,47650.9148093305,4346184.237918982,18328560.123589877,36804529.61803986,31044427.86967808,15549848.418977862,6503186.410961317,2005.0,543.786170676054,1790.146974128805,0.29587389220652044,57.0,6270.0,530.7314285714285,331513.95540311123,PMD_80,0.8
5.5,112256144.60684872,111169812.77668636,1006379.2233571565,31791.86389219819,48160.74291300189,4206678.034376964,18207778.39712944,36760352.28394515,31032100.512206778,15546859.535515495,6502375.843674892,2048.0,548.5344719159446,1622.1731535353367,0.27504619333481645,43.0,4747.577032347219,530.7714285714285,325944.13506388204,PMD_80,0.8
5.6000000000000005,111942383.17782377,110856889.76648141,1005068.5269506668,31755.374708481424,48669.509683186,4071944.479744931,18088457.936971307,36716434.6985456,31020109.429263365,15543871.253684776,6501565.379613777,2104.0,553.2615652006888,1470.955838181803,0.2557672074838364,56.0,6160.0,530.8114285714287,320527.95473925176,PMD_80,0.8
5.7,111633102.2913891,110548502.06628506,1003703.9380886883,31719.065879307927,49177.22113602845,3941387.813703537,17969489.28633695,36672572.13748261,31008124.46173507,15540773.573365794,6500755.018765129,2153.0,557.9863863932212,1334.8602543636227,0.23796283754635783,49.0,5390.0,530.8514285714286,315277.4521489481,PMD_80,0.8
